tweet_text,label,type_of_disaster,hashtags,clean_text
good morning new york blizzard alternate parking suspend spring car winter snow nyc new pic twitter qnidfei,0,not disaster,"['blizzard', 'cars', 'winter', 'snow', 'nyc', 'new']",good morning new york blizzard alternate parking suspend spring car winter snow nyc new pic twitter qnidfei
pin steph get lt,0,not disaster,,pin steph get lt
hq number d o cr sabor d o,0,not disaster,,hq number d o cr sabor d o
help suppo pueo rico,1,hurricane,,help suppo pueo rico
kissability re war hero,0,not disaster,,kissability re war hero
action climatechange now sound economics irm number harvey josehurricane,1,hurricane,,action climatechange now sound economics irm number harvey josehurricane
video show terrify moment avalanche crash everest basecamp nepalquake,1,earthquake,,video show terrify moment avalanche crash everest basecamp nepalquake
good morning keep safe everyone let pray safety place country rubyph,1,hurricane,,good morning keep safe everyone let pray safety place country rubyph
someone park car living room hurricane matthew bit ly e zp j,1,hurricane,['like'],someone park car living room hurricane matthew bit ly e zp j
discuss late greecewildfires irelandamtv tv morning irishman honeymoon confirm dead wildfire village mati new europe,1,wildfire,['greecewildfires'],discuss late greecewildfires irelandamtv tv morning irishman honeymoon confirm dead wildfire village mati new europe
hea go affect sandy gratitude work help keep stay safe re gon alright,1,hurricane,,hea go affect sandy gratitude work help keep stay safe re gon alright
wonderful news less number hour roughly number raise abflood relief effo say cdn red cro,1,flood,,wonderful news less number hour roughly number raise abflood relief effo say cdn red cro
user dwpoker keepitreal,0,not disaster,,user dwpoker keepitreal
user far good see joplin twister upgrade e number tornado watch now,1,tornado,,user far good see joplin twister upgrade e number tornado watch now
hockey playoff trump others,0,not disaster,,hockey playoff trump others
lakh indian muslim register go iraq many reg go kashmir rescue flood victim,1,flood,,lakh indian muslim register go iraq many reg go kashmir rescue flood victim
window eurasia new series buryats burn russian flag protest mosco repeat,0,not disaster,,window eurasia new series buryats burn russian flag protest mosco repeat
mesegue user cozinhafacil user ewerson user choosegavassii user gui vielmo kerllylopes,0,not disaster,,mesegue user cozinhafacil user ewerson user choosegavassii user gui vielmo kerllylopes
stcom meet service say dry condition westerly wind mean psi reading sghaze tomorrow likely unhealthy ran,1,haze,['sghaze'],stcom meet service say dry condition westerly wind mean psi reading sghaze tomorrow likely unhealthy ran
stickfordg basically nothing mayor real duty emerg ford sit flood car blast c topoli,1,flood,['topoli'],stickfordg basically nothing mayor real duty emerg ford sit flood car blast c topoli
nerdale nytimes paywall come know m read power go thanks sandy,1,hurricane,"['nerdalert', 'sandy']",nerdale nytimes paywall come know m read power go thanks sandy
maybe ask good ol herma mora covfefe mean,1,flood,,maybe ask good ol herma mora covfefe mean
geospatial analysis california wildfire show actually burn,1,wildfire,,geospatial analysis california wildfire show actually burn
queensland s flood crisis deepens death toll rise australian brisbane timesqueensland s floo repeat,1,flood,,queensland s flood crisis deepens death toll rise australian brisbane timesqueensland s floo repeat
bummer caribbean local amp vacationer major quake hit costa rica coast hope well,1,earthquake,,bummer caribbean local amp vacationer major quake hit costa rica coast hope well
person blow kill others life heaven ethereal body get destroy,0,not disaster,,person blow kill others life heaven ethereal body get destroy
user please smile tsunami come possibly eahquake smile,1,earthquake,,user please smile tsunami come possibly eahquake smile
im give lithium thought don t touch ll lose,0,not disaster,,im give lithium thought don t touch ll lose
russia stand cold war nuke ban face ocean superiority unconditional surrender putin game set match release hostage,0,not disaster,,russia stand cold war nuke ban face ocean superiority unconditional surrender putin game set match release hostage
car strand water corpus christi hurricane harvey hit texas hard live cover toplocalnow atlanta t,1,hurricane,['t'],car strand water corpus christi hurricane harvey hit texas hard live cover toplocalnow atlanta t
kentucky air guardsman establish aeromedical evacuation hub houston hurricane harvey,1,hurricane,,kentucky air guardsman establish aeromedical evacuation hub houston hurricane harvey
sad happen philippine repeat seem typhoon year repeat,1,hurricane,,sad happen philippine repeat seem typhoon year repeat
globalcalgary viual tour flood aftermath calgary zoo t co ipjgn q d yycflood,1,flood,['yycflood'],globalcalgary viual tour flood aftermath calgary zoo t co ipjgn q d yycflood
bbq suppo flood victim yycflood user ship amp anchor pub,1,flood,,bbq suppo flood victim yycflood user ship amp anchor pub
iappeal individual nationally internationally number omeforward contribute bit assist victim nepalquake,1,earthquake,,iappeal individual nationally internationally number omeforward contribute bit assist victim nepalquake
god safe,1,earthquake,,god safe
feel maybe tiny bit food blizzard hit,1,blizzard,,feel maybe tiny bit food blizzard hit
user matmanz give repubs hard pas need come commit treason allow,0,not disaster,,user matmanz give repubs hard pas need come commit treason allow
eh s macy s thanksgiving parade tomorrow ll do ll still electrocute email now,0,not disaster,,eh s macy s thanksgiving parade tomorrow ll do ll still electrocute email now
c dig huge lineup car old quality inn now temp calgarydropin house homesless tonight yycflood,1,flood,['yycflood'],c dig huge lineup car old quality inn now temp calgarydropin house homesless tonight yycflood
hi chris thanks reach open home program activate hurricane dorian sign home look shelter following page abnb eaflp please don t hesitate dm question need assistance twitter message compose recipient id,1,hurricane,,hi chris thanks reach open home program activate hurricane dorian sign home look shelter following page abnb eaflp please don t hesitate dm question need assistance twitter message compose recipient id
ericholthaus hour maria wipe fifth pueo rico economy modern weather event compare,1,hurricane,,ericholthaus hour maria wipe fifth pueo rico economy modern weather event compare
flood water recedes srinagar body find ten day jammu kashmir witness wor repeat,1,flood,,flood water recedes srinagar body find ten day jammu kashmir witness wor repeat
wordlesssong channelnewsasia psi now karenta send amp picture haze singapore sghaze htt,1,haze,['sghaze'],wordlesssong channelnewsasia psi now karenta send amp picture haze singapore sghaze htt
good night safe everyone rubyph,1,hurricane,,good night safe everyone rubyph
stephen warnock dos signing leeds,0,not disaster,,stephen warnock dos signing leeds
lord watch protect ur child path hurricane matthew guide let storm pas let take shelter u lord,1,hurricane,,lord watch protect ur child path hurricane matthew guide let storm pas let take shelter u lord
kristen bell seek shelter disney world ahead hurricane irma,1,hurricane,,kristen bell seek shelter disney world ahead hurricane irma
ydeologi glad wbuteau ok wave hit live hurricane coverage video t co dd o zq t co sagfsvhs s,1,hurricane,['s'],ydeologi glad wbuteau ok wave hit live hurricane coverage video t co dd o zq t co sagfsvhs s
something truck diroadscholar,0,not disaster,['dirtroadscholar'],something truck diroadscholar
fine fuck don t even try,0,not disaster,,fine fuck don t even try
user say power outage downtown yyc long last extremely unlikely middle next week yycflood yikes,1,flood,,user say power outage downtown yyc long last extremely unlikely middle next week yycflood yikes
hows everyone s malikmonday,0,not disaster,,hows everyone s malikmonday
re proud share user vision diverse inclusive society blackame,0,not disaster,,re proud share user vision diverse inclusive society blackame
hurricane harvey sum loss element sound,1,hurricane,,hurricane harvey sum loss element sound
geocolor image hurricane irma,1,hurricane,,geocolor image hurricane irma
globalcalgary video widespread devastation many leave homeless siksika first nation t co xzt zmgsdy abflood yycflood,1,flood,"['siksika', 'abflood', 'yycflood']",globalcalgary video widespread devastation many leave homeless siksika first nation t co xzt zmgsdy abflood yycflood
ff jakita drop clothes bell kid highriver tell,1,flood,"['ff', 'bell', 'kids', 'highriver']",ff jakita drop clothes bell kid highriver tell
okay let s give interview try repeat,0,not disaster,,okay let s give interview try repeat
car include porsche motorbike leave underground garage flood t co spzwvnmsd,1,flood,,car include porsche motorbike leave underground garage flood t co spzwvnmsd
user everyone keep say s fire noh south hot toddy smile,0,not disaster,,user everyone keep say s fire noh south hot toddy smile
half time ulsterrugby lead user thanks craig gilroy try stua mccloskey,0,not disaster,,half time ulsterrugby lead user thanks craig gilroy try stua mccloskey
wife s office hit today moore tornado get pick t find car re home safe,1,tornado,,wife s office hit today moore tornado get pick t find car re home safe
theellenshow australia s beautiful place ve image fire heabreaking send love,1,wildfire,,theellenshow australia s beautiful place ve image fire heabreaking send love
anhorse eeek hope well dc end sight australia flood victim t co l rpdvlg,1,flood,,anhorse eeek hope well dc end sight australia flood victim t co l rpdvlg
morning show smile aimankhan minalkhan file aiman aimanminal bollywood lollywo,0,not disaster,,morning show smile aimankhan minalkhan file aiman aimanminal bollywood lollywo
oklahoma governor regain strength live video,1,tornado,,oklahoma governor regain strength live video
eh havent rj yet blamethehaze,1,haze,['blamethehaze'],eh havent rj yet blamethehaze
user im home come now,0,not disaster,,user im home come now
happy bihday lovely wonderful beautiful friend user p good day p,0,not disaster,,happy bihday lovely wonderful beautiful friend user p good day p
surat continue face heavy rain n sm pa hv evacuate due flood food price hv sky rocket due heavy demand staycalm,1,flood,"['surat', 'staycalm']",surat continue face heavy rain n sm pa hv evacuate due flood food price hv sky rocket due heavy demand staycalm
top number lastfm aist kamelot number door number rolling stone number,0,not disaster,,top number lastfm aist kamelot number door number rolling stone number
lose everything repeat,0,not disaster,,lose everything repeat
prayforoklahoma best thought prayer go people oklahoma,1,tornado,,prayforoklahoma best thought prayer go people oklahoma
t co xjkvkcu,1,meteorite,,t co xjkvkcu
il terremoto cambium il cervello t co m ujlbfm,1,earthquake,['terremoto'],il terremoto cambium il cervello t co m ujlbfm
user good health advice aurora s university colorado hospital coflood cop,1,flood,,user good health advice aurora s university colorado hospital coflood cop
google s mobile move tighten grip local search engine land news search engine repeat kahunablog number reise,0,not disaster,,google s mobile move tighten grip local search engine land news search engine repeat kahunablog number reise
late news typhoon rubyph go salamat keep safe,1,hurricane,,late news typhoon rubyph go salamat keep safe
s huge hurricane come m afraid ll kill car couldn t care house need car work,1,hurricane,,s huge hurricane come m afraid ll kill car couldn t care house need car work
west iceland name europe scenic destination,0,not disaster,,west iceland name europe scenic destination
massive eahquake strike iraq star bethlehem rise israel,1,earthquake,,massive eahquake strike iraq star bethlehem rise israel
user stop curry bookstore go table user s henna number hope fundraiser proceeds nepalquake relief effo,1,earthquake,,user stop curry bookstore go table user s henna number hope fundraiser proceeds nepalquake relief effo
number t uswomensmidam slat oct number user relocate future date due hurricane irma,1,hurricane,,number t uswomensmidam slat oct number user relocate future date due hurricane irma
s mess official describes damage canadian town lac megantic train death toll rise number t co p number,1,earthquake,,s mess official describes damage canadian town lac megantic train death toll rise number t co p number
chrisetashasocorro,0,not disaster,,chrisetashasocorro
help pet burn displace california wildfire,1,wildfire,,help pet burn displace california wildfire
act kindness year old boy south carolina save bihday money go disney world change mind decide buy food hurricane dorian evacuee town bit ly harw,1,hurricane,,act kindness year old boy south carolina save bihday money go disney world change mind decide buy food hurricane dorian evacuee town bit ly harw
user saiu teaser amore,0,not disaster,,user saiu teaser amore
super cyclone pam vanuatu unicef standby respond emergency supply personnel repeat t c,1,hurricane,,super cyclone pam vanuatu unicef standby respond emergency supply personnel repeat t c
positive note wait see pup tonight surely make smile love boy,0,not disaster,,positive note wait see pup tonight surely make smile love boy
ujjain university v c attack appeal help kashmir flood victim ibnlive,1,flood,,ujjain university v c attack appeal help kashmir flood victim ibnlive
everything get,0,not disaster,,everything get
boutique hotel great neighborhood,0,not disaster,,boutique hotel great neighborhood
please send prayer sanity right now smile smile smile,0,not disaster,,please send prayer sanity right now smile smile smile
dozen dead train derail river india t co zkkn mse n t co fzhjf bxld,0,not disaster,,dozen dead train derail river india t co zkkn mse n t co fzhjf bxld
ptvph need rescue rescueph need relief operation use reliefph,1,flood,"['rescueph', 'reliefph']",ptvph need rescue rescueph need relief operation use reliefph
great stand alone hydronic mix solution hbx control hydrobloc mixing control t co hqehg xd,0,not disaster,,great stand alone hydronic mix solution hbx control hydrobloc mixing control t co hqehg xd
modular building fast easy amp reliable option number build space irma ship container irmahurricane,1,hurricane,,modular building fast easy amp reliable option number build space irma ship container irmahurricane
many time mad thing repeat point mad,0,not disaster,,many time mad thing repeat point mad
reliefph rescueph heyshaula approach ext area need help txt cont t co iaaffit,1,flood,"['reliefph', 'rescueph']",reliefph rescueph heyshaula approach ext area need help txt cont t co iaaffit
user stop s nasty lmfao,0,not disaster,,user stop s nasty lmfao
potential hurricane shelter advanced fitness tampa lol workout https instagram p byrd dsh c,0,not disaster,,potential hurricane shelter advanced fitness tampa lol workout  instagram p byrd dsh c
chrisdgfilmz marquisw appreciate da helpu get email case,0,not disaster,,chrisdgfilmz marquisw appreciate da helpu get email case
broughtmeurlove know wow um s pretty sad people already hate hardy even know s go,0,not disaster,,broughtmeurlove know wow um s pretty sad people already hate hardy even know s go
suppo harvey relief get new favorite sunday tee texasforever,1,hurricane,,suppo harvey relief get new favorite sunday tee texasforever
feroze warandsetpiece one s say depay s gon oveake hazard,0,not disaster,,feroze warandsetpiece one s say depay s gon oveake hazard
vehemently disagree subsidized educational loan serve one well personally benefit federal subsidize,0,not disaster,,vehemently disagree subsidized educational loan serve one well personally benefit federal subsidize
walangpasok class suspension december number number update number pm dec number rubyph t c,1,hurricane,,walangpasok class suspension december number number update number pm dec number rubyph t c
simon c ward eagle st pier go restaurant inundate newsbrisbane bigwet t co htaz gvr really feel,1,flood,['bigwet'],simon c ward eagle st pier go restaurant inundate newsbrisbane bigwet t co htaz gvr really feel
pakistani woman home thousand displace cm shahbaz dub flood deadliest history,1,flood,,pakistani woman home thousand displace cm shahbaz dub flood deadliest history
sismo number number number hlv mag number mw number km al suroeste number n number w prof number km,1,earthquake,,sismo number number number hlv mag number mw number km al suroeste number n number w prof number km
rand paul pay harvey recovery spending cut,1,hurricane,,rand paul pay harvey recovery spending cut
please watch user family solidarity demonstration nazareth fergusontop,0,not disaster,,please watch user family solidarity demonstration nazareth fergusontop
watch guy play flag football,0,not disaster,,watch guy play flag football
user sorry alex ll still pal xx,0,not disaster,,user sorry alex ll still pal xx
hurricane sandy approach west coast hope everyone remain safe p everyone repeat,1,hurricane,,hurricane sandy approach west coast hope everyone remain safe p everyone repeat
south florida enjoy gorgeous dry weather week today back side hurricane maria user,1,hurricane,,south florida enjoy gorgeous dry weather week today back side hurricane maria user
photo justin bieber raise m victim typhoon philippine t co nm hsfqgg,1,typhoon,,photo justin bieber raise m victim typhoon philippine t co nm hsfqgg
number pic number word number number number jgh user house cuddleweather rubyph amielshoodie selfie,1,hurricane,,number pic number word number number number jgh user house cuddleweather rubyph amielshoodie selfie
friday market elizabeth street pic t co jq cz,0,not disaster,,friday market elizabeth street pic t co jq cz
georgiebc myanmar tsone expect reach land hit south chittagong bangladesh unocha flash update t co q lp,0,not disaster,"['myanmar', 'tsone', 'bangladesh']",georgiebc myanmar tsone expect reach land hit south chittagong bangladesh unocha flash update t co q lp
monsieur gustave grand budapest hotel nebelsbad,0,not disaster,,monsieur gustave grand budapest hotel nebelsbad
syrian refugee flood neighbor state carnage settling world news ow ly qqs w need food,0,not disaster,,syrian refugee flood neighbor state carnage settling world news ow ly qqs w need food
major eahquake strike philippine photo,1,earthquake,,major eahquake strike philippine photo
number doctor national medico organisation nmo reach nepal tomorrow lend medical service r,1,earthquake,,number doctor national medico organisation nmo reach nepal tomorrow lend medical service r
condolence go number u guy wid u guy nepal hs alwys bn amp wl gd frnd india rdy hlp u guy say pm narendramodi,1,earthquake,,condolence go number u guy wid u guy nepal hs alwys bn amp wl gd frnd india rdy hlp u guy say pm narendramodi
tree front house struggle sandy,1,hurricane,['sandy'],tree front house struggle sandy
jota mb alea tsunami para la costa chilenas por el terremoto costa rica,1,earthquake,,jota mb alea tsunami para la costa chilenas por el terremoto costa rica
arsonist mc christ walk t co d lqhigjt columbus gospel,0,not disaster,,arsonist mc christ walk t co d lqhigjt columbus gospel
spenny morph back series number spencer,0,not disaster,,spenny morph back series number spencer
user steal girl perfect repeat love please follow number stealmygirlvevorecord,0,not disaster,,user steal girl perfect repeat love please follow number stealmygirlvevorecord
people always say re pretty everybody want doesn t mean anything everybody somebody want,0,not disaster,,people always say re pretty everybody want doesn t mean anything everybody somebody want
generate revenue good planning aicle internetmarketing,0,not disaster,,generate revenue good planning aicle internetmarketing
flash news numerosi temporali ad ovest della sardegna t co kjlqe vbcp,1,flood,['sardegna'],flash news numerosi temporali ad ovest della sardegna t co kjlqe vbcp
ap police say metro noh passenger train derail new york city,1,tornado,,ap police say metro noh passenger train derail new york city
user abarriosy user con raz n q esa marcha la hicieron caron con esas millonas y millones derojitos y rojitas,0,not disaster,,user abarriosy user con raz n q esa marcha la hicieron caron con esas millonas y millones derojitos y rojitas
user mom actually savage,0,not disaster,,user mom actually savage
minicaselva hahaha im gon walk flood water awile car till tweet,1,flood,,minicaselva hahaha im gon walk flood water awile car till tweet
haha right left hand corner lane mean safe car flood park p pic twitter crwnz xy,0,not disaster,,haha right left hand corner lane mean safe car flood park p pic twitter crwnz xy
vast oklahoma tornado kill least new york time t co bvpbsxgwob,1,tornado,,vast oklahoma tornado kill least new york time t co bvpbsxgwob
gabbietatad reliefph san antonio still open urgent need volunteer today load amp deploy pampanga bulacan cainta,1,flood,['reliefph'],gabbietatad reliefph san antonio still open urgent need volunteer today load amp deploy pampanga bulacan cainta
florida state emergency authority urge resident stockpile week s woh food supply hurricane dorian gather strength aim slam state soon monday category storm ktvz weather hurricane dorian day away strike florida,0,not disaster,,florida state emergency authority urge resident stockpile week s woh food supply hurricane dorian gather strength aim slam state soon monday category storm ktvz weather hurricane dorian day away strike florida
bad feel s probably bad trap car kid hour blizzard,1,blizzard,,bad feel s probably bad trap car kid hour blizzard
great user displace flood sikh family rest mosque give shelter human pakistan t,1,flood,,great user displace flood sikh family rest mosque give shelter human pakistan t
y zonlovatics musicfans peopleschoice,0,not disaster,,y zonlovatics musicfans peopleschoice
sorry lack tweet creative mode wan let know love x,0,not disaster,,sorry lack tweet creative mode wan let know love x
community mobilize relief super typhoon hagupit roar philippine rubyph,1,hurricane,,community mobilize relief super typhoon hagupit roar philippine rubyph
hurricane michael send car atlanta lake tree crush car dekalb county trib al tu yehp trib al tu yehp,1,hurricane,,hurricane michael send car atlanta lake tree crush car dekalb county trib al tu yehp trib al tu yehp
user hey luke repeat amaze follow repeat please repeat smile e,0,not disaster,,user hey luke repeat amaze follow repeat please repeat smile e
monsoon crisis noh india least number kill number make homeless flash flood strike eastern repeat,1,flood,,monsoon crisis noh india least number kill number make homeless flash flood strike eastern repeat
traffic southe coultershaw bridge now open flood subside car paially block road southbound pub,1,flood,,traffic southe coultershaw bridge now open flood subside car paially block road southbound pub
gloomy morning glad spend day family thankful allow work home rubyph hagupit,1,hurricane,,gloomy morning glad spend day family thankful allow work home rubyph hagupit
hurricane matthew leave deep destruction haiti flood river mud thousand seek shelter usat ly e obuc,1,hurricane,,hurricane matthew leave deep destruction haiti flood river mud thousand seek shelter usat ly e obuc
big t amp raphael saadiq create soul food,0,not disaster,,big t amp raphael saadiq create soul food
god bless little asian man brave hurricane sandy deliver chinese food instagr p ryi wxw wr,1,hurricane,,god bless little asian man brave hurricane sandy deliver chinese food instagr p ryi wxw wr
bird parrot irma take care little birdie repeat,1,hurricane,,bird parrot irma take care little birdie repeat
harvey damage top number number home destroy,1,hurricane,,harvey damage top number number home destroy
chicagoans collect donation send mexico eahquake victim,1,earthquake,,chicagoans collect donation send mexico eahquake victim
kid bio spends lecture play video game computer pass test study number r fail,0,not disaster,,kid bio spends lecture play video game computer pass test study number r fail
newscientist deadly power tornado alley interactive map fatal twister t co dngci z,1,tornado,,newscientist deadly power tornado alley interactive map fatal twister t co dngci z
city joplin city joplin press conf update status search rescue effo aftermath tornado repeat,0,not disaster,,city joplin city joplin press conf update status search rescue effo aftermath tornado repeat
need go back egalitarian day lakers celtic split number title decade,0,not disaster,,need go back egalitarian day lakers celtic split number title decade
watch likely landslide victim deny assistance t co bxiohtic x,0,not disaster,,watch likely landslide victim deny assistance t co bxiohtic x
sunrise webcam back new webcam camp schurman w view summit kl,1,flood,,sunrise webcam back new webcam camp schurman w view summit kl
flood relief effo far complete neighbor need food warm clothing oncoming winter fb mmbb jgo,1,flood,,flood relief effo far complete neighbor need food warm clothing oncoming winter fb mmbb jgo
sho horror story repeat,0,not disaster,,sho horror story repeat
marshall plan united state dambisa moyo prosyn oped t co gnpstnvi g po st,0,not disaster,,marshall plan united state dambisa moyo prosyn oped t co gnpstnvi g po st
pray nepal,1,earthquake,,pray nepal
ground level picture stampede ground saddledome flood aftermath yyc yycflood,1,flood,,ground level picture stampede ground saddledome flood aftermath yyc yycflood
qld australian government bureau meteorology queensland flood warn stanley river brisbane t co hdgfhsd,1,flood,,qld australian government bureau meteorology queensland flood warn stanley river brisbane t co hdgfhsd
available freelance photoshop job creepy cake design dm open,0,not disaster,,available freelance photoshop job creepy cake design dm open
coned number nyc area customer power number sure keep rise,1,hurricane,,coned number nyc area customer power number sure keep rise
relnews florida stork find shelter hurricane matthew bathroom new york daily news usa news net q,0,not disaster,,relnews florida stork find shelter hurricane matthew bathroom new york daily news usa news net q
tweet text email notecard powerful way encourage someone walk today repeat dareya,0,not disaster,,tweet text email notecard powerful way encourage someone walk today repeat dareya
cbcscott cool pic ciawesome photo calgary dark t co mczk zhxso yycflood wearecalgary,1,flood,"['yycflood', 'wearecalgary']",cbcscott cool pic ciawesome photo calgary dark t co mczk zhxso yycflood wearecalgary
flood problem continue australia user update number mt,1,flood,,flood problem continue australia user update number mt
resident evil number madre loca number v user vegett number number vey,0,not disaster,,resident evil number madre loca number v user vegett number number vey
hate s do lls,0,not disaster,,hate s do lls
s hard try decide city help clean,1,tornado,,s hard try decide city help clean
nice user flight advisory number m pal mount special flight affected zest air passenger maringph,1,flood,,nice user flight advisory number m pal mount special flight affected zest air passenger maringph
s bout blizzard fuck bar weekend hella food hella bud wifey go hella nasty ilovemylife cave,0,not disaster,"['ilovemylife', 'cave']",s bout blizzard fuck bar weekend hella food hella bud wifey go hella nasty ilovemylife cave
gateway pay weekend want suppo abflood relief effo thanks ualbea student t c,1,flood,"['abflood', 'ualberta']",gateway pay weekend want suppo abflood relief effo thanks ualbea student t c
deb ignore nuzzle back stupid xd,0,not disaster,,deb ignore nuzzle back stupid xd
future together gon good,0,not disaster,,future together gon good
wegmans scranton great supermarket yet find,1,flood,,wegmans scranton great supermarket yet find
s hurricanes s volcano eruption threat wildfire flood tsunamis etc people always find reason ride absolutely nothing agw skepticism don t play game,1,wildfire,,s hurricanes s volcano eruption threat wildfire flood tsunamis etc people always find reason ride absolutely nothing agw skepticism don t play game
waragainstdiycas number penalty number lakh mismatch declaration,0,not disaster,,waragainstdiycas number penalty number lakh mismatch declaration
meteor hit russia one e nasa know come,1,meteor,,meteor hit russia one e nasa know come
giant crane hold bridge collapse nearby home t co asc hhfnj,0,not disaster,,giant crane hold bridge collapse nearby home t co asc hhfnj
maybe thats reason haram lifestyle sitizens deadly flood water rise eastern australia t co oacl tsk aljazeera,1,flood,['aljazeera'],maybe thats reason haram lifestyle sitizens deadly flood water rise eastern australia t co oacl tsk aljazeera
tonight s halloween ride cancel due hurricane sandy stay safe dry,1,hurricane,,tonight s halloween ride cancel due hurricane sandy stay safe dry
hurricane joseph don t blow dis purp daughter food away dem impoant item,0,not disaster,,hurricane joseph don t blow dis purp daughter food away dem impoant item
venn diagram twitter opinion,0,not disaster,,venn diagram twitter opinion
legionnaire disease s do stop deadly outbreak t co ajzy vepu,0,not disaster,,legionnaire disease s do stop deadly outbreak t co ajzy vepu
tale survival barbuda way help island need travel irma,1,hurricane,,tale survival barbuda way help island need travel irma
saluddos todos,0,not disaster,,saluddos todos
user go number cause number theyre close road highway,1,hurricane,,user go number cause number theyre close road highway
tentacle bow wave irma claw way florida,1,hurricane,,tentacle bow wave irma claw way florida
tension bayelsa patience jonathan plan hijack apc pdp t co comlg vdbv,0,not disaster,,tension bayelsa patience jonathan plan hijack apc pdp t co comlg vdbv
fly calgary pilot say chance rain weather good yourwrong flood,1,flood,,fly calgary pilot say chance rain weather good yourwrong flood
wake smell smoke denver morning thought affect highparkfire,1,wildfire,['highparkfire'],wake smell smoke denver morning thought affect highparkfire
library remain closed tuesday october due hurricane sandy hope re open wednesday morning,1,hurricane,,library remain closed tuesday october due hurricane sandy hope re open wednesday morning
tshireglobal nothing wrong rd place grahamdelaet something proud donate money abflood something t,1,flood,['abflood'],tshireglobal nothing wrong rd place grahamdelaet something proud donate money abflood something t
top food buy prepare major hurricane listen https goo gl tchrmt morningmagicpic twitter rdeabeyeex,0,not disaster,['morningmagicpic'],top food buy prepare major hurricane listen  goo gl tchrmt morningmagicpic twitter rdeabeyeex
thing webbie bra don t put fake facade nothing see webbie camera aint go holly repeat,0,not disaster,,thing webbie bra don t put fake facade nothing see webbie camera aint go holly repeat
shelleylloydabc queensland s rainfall outlook animated map t co sjkkydt abcnews bigwet,1,flood,['bigwet'],shelleylloydabc queensland s rainfall outlook animated map t co sjkkydt abcnews bigwet
mum rental propey completely water t co je mpawu,1,flood,,mum rental propey completely water t co je mpawu
s exchange samsung galaxy note number tech,0,not disaster,,s exchange samsung galaxy note number tech
cyclone olwyn warn issue southern western australia howl wind reach carnarvon severe tropical c repeat,1,hurricane,,cyclone olwyn warn issue southern western australia howl wind reach carnarvon severe tropical c repeat
walk dead scene baja odile tourist airlift storm repeat fox news latino,1,hurricane,,walk dead scene baja odile tourist airlift storm repeat fox news latino
rock spring resident live elk street continue battle flood issue monday s rain storm t co j fvu qa,1,flood,,rock spring resident live elk street continue battle flood issue monday s rain storm t co j fvu qa
kingdom cup coffee power sandy nyc,1,hurricane,,kingdom cup coffee power sandy nyc
reap whirlwind,0,not disaster,,reap whirlwind
always great talk user quote user s post uber s new round fund t co number xuq,0,not disaster,,always great talk user quote user s post uber s new round fund t co number xuq
first mitt isn t ready call quit,0,not disaster,,first mitt isn t ready call quit
ashbashcash lord please watch homeless ppl street hurricane smh,1,hurricane,,ashbashcash lord please watch homeless ppl street hurricane smh
waxahachie isd issue number hour delay sta school thursday february number d bus run number hr lat repeat,0,not disaster,,waxahachie isd issue number hour delay sta school thursday february number d bus run number hr lat repeat
great new recipe mudslide cake sorry stew gbbo,0,not disaster,,great new recipe mudslide cake sorry stew gbbo
stop way home tonight buy jane s new book good way ride blizzard twitter politico status,1,blizzard,,stop way home tonight buy jane s new book good way ride blizzard twitter politico status
want help oklahoma tornado victim user need volunteer info t co gyzh,1,tornado,,want help oklahoma tornado victim user need volunteer info t co gyzh
kyliejenner kouneykardash now hear oklahoma hea break prayer,1,tornado,,kyliejenner kouneykardash now hear oklahoma hea break prayer
number hingicantstand dudes cheat beautiful girlfriend hoe look shrek s baby sister,0,not disaster,,number hingicantstand dudes cheat beautiful girlfriend hoe look shrek s baby sister
andrewsansone night view nyc crane collapse t co wclqblli sandy crane hurricane,1,hurricane,"['sandy', 'crane', 'hurricane']",andrewsansone night view nyc crane collapse t co wclqblli sandy crane hurricane
limpar sweep leg put people body bag,0,not disaster,,limpar sweep leg put people body bag
break update iran say eahquake kill number injure number,1,earthquake,,break update iran say eahquake kill number injure number
repo say least number die flood nepal n india s rain co,1,flood,,repo say least number die flood nepal n india s rain co
guatemala hunt quake miss caribbean latam,1,earthquake,,guatemala hunt quake miss caribbean latam
concernedmom friend weed friend don t need lmao,0,not disaster,,concernedmom friend weed friend don t need lmao
guess sun isn t help thing look bad stampede yycflood t co qlumodguf,1,flood,"['stampede', 'yycflood']",guess sun isn t help thing look bad stampede yycflood t co qlumodguf
incredible video show haiyan yolanda s violent wind impact giporlos eastern samar t co kablgelq l,1,typhoon,"['haiyan', 'yolanda']",incredible video show haiyan yolanda s violent wind impact giporlos eastern samar t co kablgelq l
ny train crash driver daze driver new york commuter train derail kill repo repeat,1,tornado,,ny train crash driver daze driver new york commuter train derail kill repo repeat
happy gingerbread winner congrats everyone raise number haiyan dojustice,1,hurricane,,happy gingerbread winner congrats everyone raise number haiyan dojustice
hurricane make traffic even bad saw atleast car accident way school new record,1,hurricane,,hurricane make traffic even bad saw atleast car accident way school new record
prayforchile distress news take moment pray well prayer stay st,1,earthquake,,prayforchile distress news take moment pray well prayer stay st
hope friend friend family safe today,1,hurricane,,hope friend friend family safe today
car safety motorcyclist tempts fate rid colorado flood lose ap lv,1,flood,"['car', 'safety']",car safety motorcyclist tempts fate rid colorado flood lose ap lv
many omg car really re hurricane watch people keep come,0,not disaster,,many omg car really re hurricane watch people keep come
